,u,shear,TI,Seed No
86,3.05774,0.80166,0.20653,87
87,3.05841,1.96901,0.38299,88
88,3.05908,1.99063,0.38626,89
89,3.05975,1.0433,0.24306,90
90,3.06042,0.00824,0.0866,91
91,3.0611,1.70323,0.34282,92
92,3.06177,0.66842,0.1864,93
93,3.06244,2.36268,0.44252,94
94,3.06311,1.32813,0.28613,95
95,3.06378,0.38193,0.14309,96
96,3.06445,0.4038,0.1464,97
97,3.06512,2.27282,0.42895,98
98,3.0658,1.23902,0.27266,99
99,3.06647,0.11766,0.10314,100
100,3.06714,1.89782,0.37227,101
101,3.06781,0.77674,0.20278,102
102,3.06848,-0.25606,0.04664,103
103,3.06915,1.61108,0.32892,104
104,3.06982,1.6327,0.3322,105
105,3.0705,-0.01454,0.08316,106
106,3.07117,1.06119,0.2458,107
107,3.07184,2.04873,0.3951,108
108,3.07251,0.31451,0.13291,109
109,3.07318,1.30184,0.28218,110
110,3.07385,2.37657,0.44468,111
111,3.07452,0.73095,0.19587,112
112,3.0752,2.1563,0.41138,113
113,3.07587,0.51131,0.16267,114
114,3.07654,0.18232,0.11293,115
115,3.07721,1.16861,0.26205,116
116,3.07788,0.83962,0.21231,117
117,3.07855,1.82544,0.36137,118
118,3.07922,1.49645,0.31163,119
119,3.0799,-0.14667,0.06318,120
120,3.08057,-0.1248,0.06649,121
121,3.08124,1.73635,0.34791,122
122,3.08191,2.10816,0.40413,123
123,3.08258,0.99142,0.23527,124
124,3.08325,1.36323,0.2915,125
125,3.08392,0.24702,0.12272,126
126,3.08459,0.61883,0.17894,127
127,3.08527,2.47787,0.46005,128
128,3.08594,2.47746,0.46,129
129,3.08661,0.63289,0.18107,130
130,3.08728,0.26397,0.12528,131
131,3.08795,1.36993,0.29253,132
132,3.08862,1.00101,0.23674,133
133,3.08929,2.10645,0.40391,134
134,3.08997,1.73754,0.34812,135
135,3.09064,-0.10495,0.0695,136
136,3.09131,-0.12665,0.06621,137
137,3.09198,1.49815,0.31193,138
138,3.09265,1.82274,0.36102,139
139,3.09332,0.84781,0.21358,140
140,3.09399,1.1724,0.26267,141
141,3.09467,0.19793,0.1153,142
142,3.09534,0.52252,0.16439,143
143,3.09601,2.14549,0.40984,144
144,3.09668,0.73861,0.19708,145
145,3.09735,2.36097,0.44244,146
146,3.09802,1.30062,0.28208,147
147,3.09869,0.32716,0.13485,148
148,3.09937,2.03522,0.39318,149
149,3.10004,1.06197,0.24599,150
150,3.10071,0.00261,0.08577,151
151,3.10138,1.62338,0.3309,152
152,3.10205,1.60144,0.32759,153
153,3.10272,-0.23519,0.0498,154
154,3.10339,0.77998,0.20335,155
155,3.10406,1.88118,0.3699,156
156,3.10474,0.13184,0.10532,157
157,3.10541,1.23277,0.27183,158
158,3.10608,2.24697,0.42524,159
159,3.10675,0.41216,0.14772,160
160,3.10742,0.39046,0.14444,161
161,3.10809,1.31798,0.28473,162
162,3.10876,2.33146,0.43803,163
163,3.10944,0.67045,0.18679,164
164,3.11011,1.68368,0.34005,165
165,3.11078,0.02337,0.08891,166
166,3.11145,1.03636,0.24214,167
167,3.11212,1.96279,0.38228,168
168,3.11279,1.94085,0.37897,169
169,3.11346,0.79869,0.2062,170
170,3.11414,-0.25692,0.04652,171
171,3.11481,1.5305,0.3169,172
172,3.11548,0.47514,0.15726,173
173,3.11615,2.26181,0.42753,174
174,3.11682,1.20668,0.26792,175
175,3.11749,0.06584,0.09534,176
176,3.11816,1.42132,0.3004,177
177,3.11884,0.28084,0.12787,178
178,3.11951,0.60338,0.17666,179
179,3.12018,2.38815,0.44667,180
180,3.12085,-0.04198,0.07903,181
181,3.12152,1.74228,0.34896,182
182,3.12219,2.06433,0.39769,183
183,3.12286,0.92494,0.22532,184
184,3.12354,0.90324,0.22203,185
185,3.12421,1.82679,0.36176,186
186,3.12488,1.46127,0.30646,187
187,3.12555,-0.19262,0.05625,188
188,3.12622,2.19069,0.41682,189
189,3.12689,0.53724,0.16667,190
190,3.12756,0.17221,0.11144,191
191,3.12823,1.09492,0.25105,192
192,3.12891,1.07322,0.24776,193
193,3.12958,1.99545,0.3873,194
194,3.13025,1.63041,0.33207,195
195,3.13092,-0.02121,0.08218,196
196,3.13159,2.35876,0.44228,197
197,3.13226,0.70758,0.19245,198
198,3.13293,0.34302,0.13729,199
199,3.13361,1.26442,0.27671,200
200,3.13428,1.24272,0.27343,201
201,3.13495,0.10704,0.10159,202
202,3.13562,0.42825,0.15019,203
203,3.13629,2.20562,0.41913,204
204,3.13696,-0.21435,0.05296,205
205,3.13763,1.5625,0.32182,206
206,3.13831,1.88325,0.37036,207
207,3.13898,0.74863,0.19868,208
208,3.13965,2.09646,0.40263,209
209,3.14032,0.9622,0.23099,210
210,3.14099,-0.0861,0.07237,211
211,3.14166,1.68888,0.34096,212
212,3.14233,0.64081,0.18237,213
213,3.14301,2.41506,0.45085,214
214,3.14368,1.36723,0.29229,215
215,3.14435,0.23428,0.12085,216
216,3.14502,0.21282,0.1176,217
217,3.14569,1.13136,0.25661,218
218,3.14636,2.13503,0.40849,219
219,3.14703,0.49018,0.15958,220
220,3.14771,1.49361,0.31143,221
221,3.14838,-0.15056,0.06262,222
222,3.14905,0.85264,0.21443,223
223,3.14972,1.77012,0.35329,224
224,3.15039,1.74843,0.35,225
225,3.15106,-0.06532,0.07552,226
226,3.15173,0.93716,0.22723,227
227,3.1524,2.02461,0.39181,228
228,3.15308,0.29705,0.13036,229
229,3.15375,1.38423,0.2949,230
230,3.15442,2.38578,0.44648,231
231,3.15509,0.57379,0.17225,232
232,3.15576,0.55233,0.169,233
233,3.15643,2.15004,0.41081,234
234,3.1571,1.10587,0.25278,235
235,3.15778,0.14724,0.10769,236
236,3.15845,1.82937,0.36229,237
237,3.15912,0.87095,0.21723,238
238,3.15979,-0.17228,0.05933,239
239,3.16046,1.4239,0.30092,240
240,3.16113,0.04046,0.09153,241
241,3.1618,1.63606,0.33304,242
242,3.16248,1.9548,0.38129,243
243,3.16315,0.99735,0.23637,244
244,3.16382,1.31609,0.28462,245
245,3.16449,0.35908,0.13976,246
246,3.16516,0.67783,0.18801,247
247,3.16583,2.27167,0.42927,248
248,3.1665,2.24998,0.42599,249
249,3.16718,0.44362,0.15256,250
250,3.16785,0.08236,0.09788,251
251,3.16852,1.16548,0.26183,252
252,3.16919,0.80423,0.20715,253
253,3.16986,1.88685,0.37103,254
254,3.17053,1.5256,0.31635,255
255,3.1712,-0.27878,0.04321,256
256,3.17188,1.51083,0.31412,257
257,3.17255,-0.29293,0.04107,258
258,3.17322,0.79461,0.2057,259
259,3.17389,1.87612,0.36943,260
260,3.17456,0.06757,0.09564,261
261,3.17523,1.14884,0.25933,262
262,3.1759,2.23539,0.42382,263
263,3.17657,0.43336,0.15102,264
264,3.17725,0.66734,0.18644,265
265,3.17792,2.25627,0.42699,266
266,3.17859,1.29755,0.28185,267
267,3.17926,0.34414,0.13752,268
268,3.17993,1.9373,0.37871,269
269,3.1806,0.98411,0.23441,270
270,3.18127,0.02627,0.0894,271
271,3.18195,1.61368,0.32973,272
272,3.18262,-0.18713,0.05709,273
273,3.18329,1.39978,0.29735,274
274,3.18396,1.80709,0.35902,275
275,3.18463,0.85489,0.21485,276
276,3.1853,1.08169,0.24919,277
277,3.18597,0.12994,0.1051,278
278,3.18665,0.53719,0.16676,279
279,3.18732,2.12235,0.40676,280
280,3.18799,2.35541,0.44205,281
281,3.18866,0.55888,0.17004,282
282,3.18933,0.27912,0.12769,283
283,3.19,1.3563,0.29078,284
284,3.19067,0.91748,0.22434,285
285,3.19135,1.99418,0.38737,286
286,3.19202,1.71436,0.34501,287
287,3.19269,-0.08022,0.07328,288
288,3.19336,0.8309,0.21124,289
289,3.19403,1.73808,0.34861,290
290,3.1947,1.45849,0.30627,291
291,3.19537,-0.16607,0.06028,292
292,3.19604,2.09558,0.40275,293
293,3.19672,0.47146,0.15682,294
294,3.19739,0.19228,0.11454,295
295,3.19806,1.09864,0.25179,296
296,3.19873,1.33124,0.28702,297
297,3.1994,0.2141,0.11785,298
298,3.20007,0.61994,0.17931,299
299,3.20074,2.36825,0.44406,300
300,3.20142,-0.1021,0.06997,301
301,3.20209,1.64573,0.33465,302
302,3.20276,2.05107,0.39604,303
303,3.20343,0.93494,0.22702,304
304,3.2041,1.83814,0.3638,305
305,3.20477,0.72243,0.19484,306
306,3.20544,-0.22953,0.05067,307
307,3.20612,1.51655,0.3151,308
308,3.20679,0.4064,0.14698,309
309,3.20746,2.15178,0.41131,310
310,3.20813,1.20023,0.2672,311
311,3.2088,0.08575,0.09842,312
312,3.20947,0.31789,0.13358,313
313,3.21014,1.22147,0.27043,314
314,3.21082,2.29845,0.43354,315
315,3.21149,0.68033,0.18847,316
316,3.21216,1.57779,0.3244,317
317,3.21283,-0.03966,0.07943,318
318,3.2135,1.0368,0.24247,319
319,3.21417,1.93935,0.37917,320
320,3.21484,0.14781,0.10782,321
321,3.21552,1.0502,0.2445,322
322,3.21619,2.12576,0.40741,323
323,3.21686,0.50985,0.16266,324
324,3.21753,1.40613,0.29842,325
325,3.2182,-0.20912,0.05377,326
326,3.21887,0.86593,0.2166,327
327,3.21954,1.76729,0.35313,328
328,3.22021,1.99852,0.38815,329
329,3.22089,0.88728,0.21984,330
330,3.22156,-0.06086,0.07622,331
331,3.22223,1.67814,0.33963,332
332,3.2229,0.57245,0.17215,333
333,3.22357,2.31076,0.43547,334
334,3.22424,1.36302,0.29191,335
335,3.22491,0.25301,0.12377,336
336,3.22559,1.15147,0.25987,337
337,3.22626,0.04188,0.09179,338
338,3.22693,0.44502,0.15286,339
339,3.2276,2.1816,0.41592,340
340,3.22827,-0.27211,0.04423,341
341,3.22894,1.46401,0.30722,342
342,3.22961,1.86665,0.36822,343
343,3.23029,0.75805,0.20028,344
344,3.23096,0.98883,0.23524,345
345,3.23163,1.88745,0.37138,346
346,3.2323,1.61047,0.32942,347
347,3.23297,0.00115,0.08562,348
348,3.23364,2.24152,0.42503,349
349,3.23431,0.63264,0.18129,350
350,3.23499,0.35605,0.13939,351
351,3.23566,1.25388,0.27541,352
352,3.23633,2.155,0.41193,353
353,3.237,0.3802,0.14305,354
354,3.23767,0.10385,0.10118,355
355,3.23834,1.16805,0.26241,356
356,3.23901,0.73456,0.19674,357
357,3.23969,1.79831,0.35791,358
358,3.24036,1.5219,0.31603,359
359,3.24103,-0.25101,0.04742,360
360,3.2417,-0.02068,0.08232,361
361,3.24237,1.54282,0.31921,362
362,3.24304,1.9441,0.38001,363
363,3.24371,1.00591,0.23786,364
364,3.24438,1.22934,0.27172,365
365,3.24506,0.29159,0.12963,366
366,3.24573,0.69281,0.19043,367
367,3.2464,2.25463,0.42707,368
368,3.24707,0.48262,0.15858,369
369,3.24774,2.04395,0.39516,370
370,3.24841,1.10194,0.25242,371
371,3.24908,0.16514,0.11048,372
372,3.24976,1.73064,0.34769,373
373,3.25043,0.79405,0.20578,374
374,3.2511,-0.14712,0.06316,375
375,3.25177,1.41275,0.29953,376
376,3.25244,1.64219,0.3343,377
377,3.25311,-0.12543,0.06645,378
378,3.25378,0.94029,0.22794,379
379,3.25446,2.00011,0.38854,380
380,3.25513,0.22777,0.11997,381
381,3.2558,1.28736,0.28054,382
382,3.25647,2.35213,0.4419,383
383,3.25714,0.58615,0.17429,384
384,3.25781,0.58609,0.17428,385
385,3.25848,2.36474,0.44382,386
386,3.25916,1.30273,0.28288,387
387,3.25983,0.23554,0.12116,388
388,3.2605,2.00783,0.38974,389
389,3.26117,0.94087,0.22805,390
390,3.26184,-0.12019,0.06725,391
391,3.26251,1.65681,0.33655,392
392,3.26318,1.42753,0.30181,393
393,3.26385,-0.14021,0.06422,394
394,3.26453,0.7952,0.20598,395
395,3.2652,1.73518,0.34844,396
396,3.26587,0.17305,0.11169,397
397,3.26654,1.11282,0.25412,398
398,3.26721,2.0474,0.39576,399
399,3.26788,0.48112,0.15838,400
400,3.26855,2.25375,0.42704,401
401,3.26923,0.68795,0.18973,402
402,3.2699,0.29682,0.13045,403
403,3.27057,1.23563,0.27275,404
404,3.27124,1.00038,0.23709,405
405,3.27191,1.93877,0.37932,406
406,3.27258,1.54769,0.32005,407
407,3.27325,-0.01644,0.08298,408
408,3.27393,-0.24484,0.04836,409
409,3.2746,1.5269,0.3169,410
410,3.27527,1.79267,0.35719,411
411,3.27594,0.72962,0.19606,412
412,3.27661,1.17182,0.26309,413
413,3.27728,0.10923,0.10203,414
414,3.27795,0.37505,0.14232,415
415,3.27863,2.14494,0.4106,416
416,3.2793,1.25284,0.27538,417
417,3.27997,0.35747,0.13966,418
418,3.28064,0.62307,0.17992,419
419,3.28131,2.22528,0.42279,420
420,3.28198,0.00343,0.086,421
421,3.28265,1.60521,0.3288,422
422,3.28333,1.87044,0.36901,423
423,3.284,0.97585,0.2334,424
424,3.28467,0.74789,0.19885,425
425,3.28534,1.84955,0.36585,426
426,3.28601,1.45976,0.30677,427
427,3.28668,-0.26547,0.04523,428
428,3.28735,2.16018,0.41295,429
429,3.28802,0.43539,0.15148,430
430,3.2887,0.0461,0.09247,431
431,3.28937,1.14679,0.25933,432
432,3.29004,0.25202,0.12369,433
433,3.29071,1.35232,0.29049,434
434,3.29138,2.28134,0.43134,435
435,3.29205,0.55823,0.17011,436
436,3.29272,1.66278,0.33757,437
437,3.2934,-0.05966,0.07644,438
438,3.29407,0.86899,0.21723,439
439,3.29474,1.9681,0.38386,440
440,3.29541,1.74058,0.34937,441
441,3.29608,0.84865,0.21415,442
442,3.29675,-0.20336,0.05465,443
443,3.29742,1.39268,0.29663,444
444,3.2981,0.49576,0.16065,445
445,3.29877,2.09117,0.40254,446
446,3.29944,1.03965,0.24311,447
447,3.30011,0.14871,0.10803,448
448,3.30078,1.90231,0.37391,449
449,3.30145,1.01152,0.23885,450
450,3.30212,-0.03914,0.07955,451
451,3.3028,1.55479,0.32123,452
452,3.30347,0.65902,0.18541,453
453,3.30414,2.25232,0.427,454
454,3.30481,1.20214,0.26776,455
455,3.30548,0.31233,0.13285,456
456,3.30615,0.08567,0.09848,457
457,3.30682,1.18169,0.26467,458
458,3.3075,2.1071,0.40499,459
459,3.30817,0.39077,0.14474,460
460,3.30884,1.49103,0.31158,461
461,3.30951,-0.22465,0.05143,462
462,3.31018,0.70039,0.1917,463
463,3.31085,1.79524,0.35772,464
464,3.31152,0.90503,0.22273,465
465,3.31219,1.99949,0.38869,466
466,3.31287,1.61222,0.32997,467
467,3.31354,-0.1018,0.07006,468
468,3.31421,2.30802,0.43549,469
469,3.31488,0.59444,0.17564,470
470,3.31555,0.20766,0.11698,471
471,3.31622,1.30116,0.28281,472
472,3.31689,1.07493,0.24851,473
473,3.31757,0.18774,0.11397,474
474,3.31824,0.45096,0.15388,475
475,3.31891,2.0386,0.39465,476
476,3.31958,-0.16298,0.06078,477
477,3.32025,1.42424,0.30149,478
478,3.32092,1.68709,0.34135,479
479,3.32159,0.80067,0.20692,480
480,3.32227,-0.08194,0.07307,481
481,3.32294,1.66905,0.33863,482
482,3.32361,1.93168,0.37846,483
483,3.32428,0.88104,0.21912,484
484,3.32495,1.31806,0.2854,485
485,3.32562,0.26786,0.12612,486
486,3.32629,0.53055,0.16597,487
487,3.32697,2.27974,0.43126,488
488,3.32764,2.05393,0.39702,489
489,3.32831,0.51053,0.16293,490
490,3.32898,0.12501,0.10446,491
491,3.32965,1.05045,0.24483,492
492,3.33032,0.8186,0.20966,493
493,3.33099,1.74363,0.34997,494
494,3.33167,1.35815,0.2915,495
495,3.33234,-0.18364,0.05765,496
496,3.33301,1.56152,0.32235,497
497,3.33368,0.0202,0.08857,498
498,3.33435,0.93982,0.22806,499
499,3.33502,1.86393,0.36823,500
500,3.33569,0.3281,0.13527,501
501,3.33636,1.25202,0.27542,502
502,3.33704,2.17084,0.41479,503
503,3.33771,0.63091,0.18121,504
504,3.33838,0.40596,0.14709,505
505,3.33905,2.15008,0.41165,506
506,3.33972,1.10874,0.25369,507
507,3.34039,0.06231,0.09496,508
508,3.34106,1.80022,0.35859,509
509,3.34174,0.75401,0.19989,510
510,3.34241,-0.28644,0.04206,511
511,3.34308,1.45612,0.3064,512
512,3.34375,1.7826,0.35593,513
513,3.34442,0.74791,0.19897,514
514,3.34509,-0.29187,0.04123,515
515,3.34576,1.43873,0.30377,516
516,3.34644,0.39917,0.14607,517
517,3.34711,2.1291,0.40851,518
518,3.34778,1.08977,0.25084,519
519,3.34845,0.05619,0.09404,520
520,3.34912,0.3213,0.13426,521
521,3.34979,1.23269,0.27252,522
522,3.35046,2.14857,0.41148,523
523,3.35114,0.62314,0.18005,524
524,3.35181,1.53883,0.31897,525
525,3.35248,0.01398,0.08764,526
526,3.35315,0.92947,0.22653,527
527,3.35382,1.83989,0.36466,528
528,3.35449,0.80609,0.20781,529
529,3.35516,1.71624,0.3459,530
530,3.35583,1.33299,0.28776,531
531,3.35651,-0.19035,0.05664,532
532,3.35718,2.02174,0.39226,533
533,3.35785,0.49878,0.16119,534
534,3.35852,0.11597,0.10311,535
535,3.35919,1.02536,0.24109,536
536,3.35986,1.28964,0.28119,537
537,3.36053,0.259,0.12482,538
538,3.36121,0.5195,0.16434,539
539,3.36188,2.24333,0.4259,540
540,3.36255,-0.08816,0.07214,541
541,3.36322,1.63521,0.33364,542
542,3.36389,1.89532,0.37311,543
543,3.36456,0.86558,0.21686,544
544,3.36523,-0.1705,0.05965,545
545,3.36591,1.38993,0.29643,546
546,3.36658,1.64992,0.33588,547
547,3.36725,0.78267,0.20429,548
548,3.36792,1.04267,0.24374,549
549,3.36859,0.17579,0.1122,550
550,3.36926,0.43581,0.15166,551
551,3.36993,1.99466,0.38821,552
552,3.37061,2.25811,0.42819,553
553,3.37128,0.57832,0.17328,554
554,3.37195,0.19672,0.11538,555
555,3.37262,1.26478,0.27746,556
556,3.37329,0.8832,0.21955,557
557,3.37396,1.95081,0.38157,558
558,3.37463,1.56924,0.32367,559
559,3.37531,-0.10883,0.06901,560
560,3.37598,1.44629,0.30501,561
561,3.37665,-0.23123,0.05044,562
562,3.37732,0.67905,0.18858,563
563,3.37799,1.74567,0.35045,564
564,3.37866,0.07365,0.09671,565
565,3.37933,1.14003,0.25855,566
566,3.38,2.04952,0.39658,567
567,3.38068,0.3735,0.14221,568
568,3.38135,0.63654,0.18214,569
569,3.38202,2.1909,0.41804,570
570,3.38269,1.16015,0.26161,571
571,3.38336,0.29628,0.1305,572
572,3.38403,1.84458,0.36549,573
573,3.3847,0.98087,0.2344,574
574,3.38538,-0.04903,0.07809,575
575,3.38605,1.50396,0.3138,576
576,3.38672,0.47304,0.15733,577
577,3.38739,2.02546,0.39295,578
578,3.38806,0.99604,0.23671,579
579,3.38873,0.13329,0.10576,580
580,3.3894,1.67966,0.34048,581
581,3.39008,0.81707,0.20955,582
582,3.39075,-0.21151,0.05343,583
583,3.39142,1.33955,0.28886,584
584,3.39209,1.60176,0.32866,585
585,3.39276,-0.06941,0.075,586
586,3.39343,0.83739,0.21264,587
587,3.3941,1.89994,0.37393,588
588,3.39478,0.23424,0.12109,589
589,3.39545,1.29655,0.28235,590
590,3.39612,2.20256,0.41988,591
591,3.39679,0.53287,0.16643,592
592,3.39746,2.08003,0.40128,593
593,3.39813,0.41089,0.14791,594
594,3.3988,0.03173,0.09036,595
595,3.39948,1.09307,0.25147,596
596,3.40015,0.71393,0.19392,597
597,3.40082,1.77483,0.35497,598
598,3.40149,1.39569,0.29741,599
599,3.40216,-0.27176,0.04429,600
600,3.40283,-0.00995,0.08403,601
601,3.4035,1.53667,0.31882,602
602,3.40417,1.79434,0.35794,603
603,3.40485,0.93473,0.22745,604
604,3.40552,1.19241,0.26657,605
605,3.40619,0.33316,0.13612,606
606,3.40686,0.59086,0.17525,607
607,3.40753,2.13593,0.40981,608
608,3.4082,1.1101,0.25408,609
609,3.40887,0.09119,0.09939,610
610,3.40955,0.34876,0.13849,611
611,3.41022,2.05306,0.39724,612
612,3.41089,-0.25196,0.04729,613
613,3.41156,1.4519,0.30598,614
614,3.41223,1.7091,0.34503,615
615,3.4129,0.69105,0.19047,616
616,3.41357,0.95206,0.2301,617
617,3.41425,1.84957,0.36637,618
618,3.41492,1.47162,0.30898,619
619,3.41559,-0.03065,0.0809,620
620,3.41626,2.1508,0.41211,621
621,3.41693,0.64889,0.18407,622
622,3.4176,0.27136,0.12675,623
623,3.41827,1.16814,0.26292,624
624,3.41895,0.15005,0.10833,625
625,3.41962,1.04657,0.24446,626
626,3.42029,1.94751,0.38126,627
627,3.42096,0.44704,0.15343,628
628,3.42163,1.34779,0.2902,629
629,3.4223,-0.15211,0.06246,630
630,3.42297,0.74845,0.1992,631
631,3.42365,1.64404,0.33519,632
632,3.42432,1.90424,0.37471,633
633,3.42499,0.88903,0.22055,634
634,3.42566,-0.13118,0.06563,635
635,3.42633,1.5668,0.32347,636
636,3.427,0.5468,0.16859,637
637,3.42767,2.24414,0.42633,638
638,3.42834,1.22435,0.27148,639
639,3.42902,0.2102,0.11748,640
640,3.42969,0.2102,0.11748,641
641,3.43036,1.237,0.27341,642
642,3.43103,2.25817,0.42848,643
643,3.4317,0.55392,0.16968,644
644,3.43237,1.57488,0.32472,645
645,3.43304,-0.12874,0.06601,646
646,3.43372,0.89201,0.22102,647
647,3.43439,1.91774,0.3768,648
648,3.43506,1.6577,0.33731,649
649,3.43573,0.75245,0.19983,650
650,3.4364,-0.14783,0.06311,651
651,3.43707,1.35367,0.29114,652
652,3.43774,0.45357,0.15445,653
653,3.43842,1.95452,0.3824,654
654,3.43909,1.05461,0.24573,655
655,3.43976,0.1503,0.10839,656
656,3.44043,1.17315,0.26374,657
657,3.4411,0.26911,0.12643,658
658,3.44177,0.65192,0.18458,659
659,3.44244,2.15144,0.41232,660
660,3.44312,-0.02918,0.08113,661
661,3.44379,1.46998,0.30883,662
662,3.44446,1.85237,0.36691,663
663,3.44513,0.94906,0.22971,664
664,3.4458,0.68981,0.19034,665
665,3.44647,1.71271,0.3457,666
666,3.44714,1.44969,0.30576,667
667,3.44781,-0.24809,0.04788,668
668,3.44849,2.04911,0.39681,669
669,3.44916,0.35176,0.139,670
670,3.44983,0.08912,0.0991,671
671,3.4505,1.11116,0.25435,672
672,3.45117,2.12636,0.40855,673
673,3.45184,0.58992,0.17518,674
674,3.45251,0.32739,0.1353,675
675,3.45319,1.18895,0.26617,676
676,3.45386,0.92642,0.22629,677
677,3.45453,1.78762,0.35711,678
678,3.4552,1.52507,0.31723,679
679,3.45587,-0.00985,0.08407,680
680,3.45654,-0.26831,0.04481,681
681,3.45721,1.38591,0.2961,682
682,3.45789,1.76714,0.35401,683
683,3.45856,0.70701,0.19297,684
684,3.45923,1.08822,0.25088,685
685,3.4599,0.02853,0.08991,686
686,3.46057,0.40973,0.14782,687
687,3.46124,2.06231,0.39887,688
688,3.46191,0.52789,0.16577,689
689,3.46259,2.17995,0.41674,690
690,3.46326,1.285,0.28079,691
691,3.46393,0.22626,0.11995,692
692,3.4646,1.88226,0.37153,693
693,3.46527,0.82375,0.21072,694
694,3.46594,-0.07043,0.07488,695
695,3.46661,1.58019,0.32565,696
696,3.46729,1.32213,0.28644,697
697,3.46796,-0.20851,0.0539,698
698,3.46863,0.80406,0.20774,699
699,3.4693,1.66236,0.33814,700
700,3.46997,0.12712,0.10489,701
701,3.47064,0.98526,0.23527,702
702,3.47131,1.99703,0.38899,703
703,3.47198,0.4677,0.15664,704
704,3.47266,1.478,0.31014,705
705,3.47333,-0.05078,0.07787,706
706,3.474,0.96052,0.23152,707
707,3.47467,1.81774,0.36177,708
708,3.47534,0.28436,0.12879,709
709,3.47601,1.14142,0.25901,710
710,3.47668,2.15192,0.41255,711
711,3.47736,0.62445,0.18046,712
712,3.47803,0.36717,0.14137,713
713,3.4787,2.01316,0.39147,714
714,3.47937,1.12154,0.256,715
715,3.48004,0.06673,0.09572,716
716,3.48071,1.71665,0.34643,717
717,3.48138,0.66206,0.18619,718
718,3.48206,-0.2288,0.05082,719
719,3.48273,1.41577,0.30072,720
720,3.4834,-0.11103,0.06872,721
721,3.48407,1.53303,0.31854,722
722,3.48474,1.91189,0.37611,723
723,3.48541,0.85824,0.216,724
724,3.48608,1.2371,0.27358,725
725,3.48676,0.18388,0.11353,726
726,3.48743,0.56271,0.1711,727
727,3.4881,2.20516,0.42069,728
728,3.48877,1.94826,0.38165,729
729,3.48944,0.42502,0.15018,730
730,3.49011,0.16478,0.11063,731
731,3.49078,1.01898,0.24044,732
